song_id;song_name;song_lyrics_url;annotation_count;artist_id;artist_name;artist_url;lyrics
1826326;A Better Future (Remix by Air);https://genius.com/David-bowie-a-better-future-remix-by-air-lyrics; 1;9534;David Bowie;https://genius.com/artists/David-bowie;From factory to field How many tears must fall Down there below Nothing is moving Woohoo I might just stop needing you I might just stop loving you I demand a better future I demand a better future For I might just stop loving you Loving you, loving you I demand a better future I demand a better future I demand a better future Or I might just stop loving you Loving you, loving you I demand a better future (I demand a better future) When we talk We talk to you When we walk We walk to you From factory to field How many tears must fall Down there below Nothing is moving Please don't tear this world asunder Please take back this fear we're under I demand a better future Or I might just stop wanting you I might just stop wanting you Please make sure we get tomorrow All this pain, and all this sorrow I demand a better future Or I might just stop needing you I might just stop needing you Give my children sunny smiles I demand a better future For I might just stop loving you Loving you, loving you I demand a better future (I demand a better future)
1126243;Absolute Beginners;https://genius.com/David-bowie-absolute-beginners-lyrics; 2;9534;David Bowie;https://genius.com/artists/David-bowie;I've nothing much to offer There's nothing much to take I'm an absolute beginner And I'm absolutely sane As long as we're together The rest can go to hell I absolutely love you But we're absolute beginners With eyes completely open But nervous all the same If our love song Could fly over mountains Could laugh at the ocean Just like the films There's no reason To feel all the hard times To lay down the hard lines It's absolutely true Nothing much could happen Nothing we can't shake Oh we're absolute beginners With nothing much at stake As long as you're still smiling There's nothing more I need I absolutely love you But we're absolute beginners But if my love is your love We're certain to succeed If our love song Could fly over mountains Sail over heartaches Just like the films If there's reason To feel all the hard times To lay down the hard lines It's absolutely true
 338974;Across the Universe (Ft. John Lennon);https://genius.com/David-bowie-across-the-universe-lyrics; 2;9534;David Bowie;https://genius.com/artists/David-bowie;Words are flowing out like endless rain into a paper cup They slither wildly as they slip away across the universe Pools of sorrow, waves of joy Are drifting through my opened mind Possessing and caressing me Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Images of broken light which dance before me like a million eyes They call me on and on across the universe Thoughts meander like the restless wind inside a letterbox They tumble blindly as they make their way across the universe Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Sounds of laughter, shades of life Are ringing through my open ears Inciting and inviting me Limitless undying love, which shines around me like a million suns It calls me on and on and on across the universe Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world
4275448;A Fleeting Moment (剎那天地) / Seven Years In Tibet (Mandarin Version);https://genius.com/David-bowie-a-fleeting-moment-seven-years-in-tibet-mandarin-version-lyrics; 0;9534;David Bowie;https://genius.com/artists/David-bowie;你還好嗎 你失去的頭髮 輪迴了的傷疤 長出了鮮花 如果有這個說法 怎麼你嘴吧 都沒有回答 我祝福你 天地不過一剎那 我祝福你 一生一剎那 我祝福你 白雪下得瀟灑 遺忘了春夏 浮雲也出了家 尋找一個說法 如果凡塵都虛假 別要驚訝 也不要回答 我祝福你 天地不過一剎那 我祝福你 一生一剎那 我祝福你 我祝福你 天地不過一剎那 我祝福你 一生一剎那 我祝福你 天地不過一剎那 我祝福你 一生一剎那
1082658;A Foggy Day (In London Town) (Ft. Angelo Badalamenti);https://genius.com/David-bowie-a-foggy-day-in-london-town-lyrics; 2;9534;David Bowie;https://genius.com/artists/David-bowie;I was a stranger in the city Out of town were the people I knew I had that feeling of self-pity What to do? What to do? What to do? The outlook was decidedly blue But as I walked through the foggy streets alone It turned out to be the luckiest day I've known A foggy day in London Town Had me low and had me down I viewed the morning with alarm The British Museum had lost its charm How long, I wondered, could this thing last? But the age of miracles hadn't passed For, suddenly, I saw you there And through foggy London Town The sun was shining everywhere
 236734;Afraid;https://genius.com/David-bowie-afraid-lyrics; 7;9534;David Bowie;https://genius.com/artists/David-bowie;I wish I was smarter I got so lost on the shore I wish I was taller Things really matter to me But I put my face in tomorrow I believe we're not alone I believe in Beatles I believe my little soul has grown And I'm still so afraid Yes, I'm still so afraid Yes, I'm still so afraid On my own, on my own What made my life so wonderful? What made me feel so bad? I used to wake up the ocean I used to walk on clouds If I put faith in medication If I can smile a crooked smile If I can talk on television If I can walk an empty mile And I won't feel afraid No I won't feel afraid I won't be, be afraid anymore Anymore (And then I just won't be afraid) Anymore (And then I just won't be afraid)
 339028;African Night Flight;https://genius.com/David-bowie-african-night-flight-lyrics; 5;9534;David Bowie;https://genius.com/artists/David-bowie;African nightmare one-time Mormon More men fall in Hullabaloo men I slide to the nearest bar Undermine chairman, I went too far Bent on a windfall, rent a Sony Wonder how the dollar went down Got to get a word to Elizabeth's father Hey ho, he wished me well Seemed like another day I could fly Into the eye of God on high His burning eye will see me through One of these days, one of these days Got to get a word through one of these days His burning eye will see me through One of these days, one of these days Got to get a word through one of these days Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Getting in mood for a Mombasa night flight Pushing my luck, going to fly like a mad thing Bare strip takeoff, skimming over Rhino Born in slumber, less than peace Struggle with a child, whose screaming, dreaming Drowned by the props all steely sunshine Sick of you, sick of me Lust for the free life, quashed and maimed Like a valuable loved one left unnamed Seemed like another day I could fly Into the eye of God on high Seemed like another day I could fly Into the eye of God on high Over the bush land, over the trees Wise like orangutan, that was me His burning eye will see me through One of these days, one of these days Got to get a word through one of these days His burning eye will see me through One of these days, one of these days Got to get a word through one of these days Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na Asante habari habari ha Asante nabana nabana na
 338897;After All;https://genius.com/David-bowie-after-all-lyrics; 6;9534;David Bowie;https://genius.com/artists/David-bowie;Please trip them gently, they don't like to fall Oh by jingo There's no room for anger, we're all very small Oh by jingo We're painting our faces and dressing in thoughts From the skies, from paradise But they think that we're holding a secretive ball Won't someone invite them, they're just taller children That's all After all Man is an obstacle, sad as the clown Oh by jingo So hold on to nothing, and he won't let you down Oh by jingo Some people are marching together and some on their own Quite alone Others are running, the smaller ones crawl But some sit in silence, they're just older children That's all After all I sing with impertinence, shading impermanent chords With my words I've borrowed your time and I'm sorry I called But the thought just occurred We're nobody's children At all After all Live till your rebirth and do what you will Oh by jingo Forget all I've said, please bear me no ill Oh by jingo After all, after all
1039970;After Today;https://genius.com/David-bowie-after-today-lyrics; 1;9534;David Bowie;https://genius.com/artists/David-bowie;Woo Thaaa Thaaa Always in trouble Never to blame Must be a double You are the same Here it comes again Doing the wrong thing Forgetting your li..ines Waiting for something better to shine Take that same okay After today, fortune man will find you After today, they will find you working After today, you'll find the ones you're after After today, look out, after today What kind of rescue? What will you be? Where can you take it, baby boy? For me Break that heart for me After today, the fortune fan will find you After today, they will fly you away After today, you'll find the one you're after After today, look out, after today After today, the fortune fan will find you After today, they will fly you away After today, you'll find the one you're after After today, look out, after today Today After today After toda-ay, hey Look out, after today Ah, yeah Look, ah (laughter) (spoken : I was gettin' in to that) (laughter)
1411145;Alabama Song;https://genius.com/David-bowie-alabama-song-lyrics; 0;9534;David Bowie;https://genius.com/artists/David-bowie;"Oh show me the way to the next whiskey bar Oh don't ask why, no don't ask why For we must find the next whiskey bar Or if we don't find the next whiskey bar I tell you we must die I tell you we must die I tell you, I tell you I tell you we must die Oh moon of Alabama, it's time to say goodbye We've lost our good old mama And must have whiskey or you know why Oh moon of Alabama, it's time to say goodbye We've lost our good old mama And must have whiskey or you know why Oh show us the way to the next little dollar Oh don't ask why, oh don't ask why For we must find the next little dollar Or if we don't find the next little dollar I tell you we must die I tell you we must die I tell you, I tell you I tell you we must die Oh moon of Alabama, it's time to say goodbye We've lost our good old mama And must have dollar or you know why Oh moon of Alabama, it's time to say goodbye We've lost our good old mama And must have dollar or you know why Oh show us the way to the next little girl Oh don't ask why, no don't ask why For we must find the next little girl Or if we don't find the next little girl I tell you we must die I tell you we must die I tell you, I tell you I tell you we must die Oh moon of Alabama, it's time to say goodbye We've lost our good old mama And must have little girl or you know why Oh moon of Alabama it's time to say ""auf wiedersehen"" We've lost our good old mama And must have little girl or you know why You know why You know why"
